Question ID,Question,A,B,C,D,Correct Answer,Difficulty Level,tags
Q1,What is the purpose of the init() method in a Python class?, It is used to define the class methods, It is used to create a new object of the class, It is used to initialize the attributes of the object when it is created, It is used to delete an object of the class,C,Advanced,Functions
Q2,"What will be the output of the following Python expression if x=56.236?   print(""%.2f""%x)",56.236,56.23,56,56.24,D,Beginner,
Q3,Which module in the python standard library parses options received from the command line?, getarg, getopt, main, os,B,Advanced,Libraries
Q4,"What will be the output of the following Python code snippet? z=set('abc$de')
'a' in z", Error, True, False, No output,B,Advanced,"Tuples, Lists, Dictionaries, Sets"
Q5,�Which of the following is a feature of Python DocString?, In Python all functions should have a docstring, Docstrings can be accessed by the __doc__ attribute on objects," It provides a convenient way of associating documentation with Python modules, functions, classes, and methods", All of the mentioned,D,Advanced,String Tools
Q6,The process of pickling in Python includes ____________, conversion of a Python object hierarchy into byte stream, conversion of a datatable into a list, conversion of a byte stream into Python object hierarchy, conversion of a list into a datatable,C,Advanced,
Q7,Which operator is overloaded by __invert__()?, !, ~, ^, �,B,Advanced,Overloading
Q8,Which of the following operators has its associativity from right to left?, +, //, %, **,D,Advanced,Precedenc and Associativity
Q9,What is the length of sys.argv?, number of arguments, number of arguments + 1, number of arguments � 1, none of the mentioned,B,Advanced,Arguments
Q10,What is setattr() used for?, To access the attribute of the object, To set an attribute, To check if an attribute exists or not, To delete an attribute,B,Advanced,Classes and Objects
Q11,When will the else part of try-except-else be executed?, always, when an exception occurs, when no exception occurs, when an exception occurs in to except block,C,Advanced,Exception Handling
Q12,Which of the following statements are true?," When you open a file for reading, if the file does not exist, an error occurs"," When you open a file for writing, if the file does not exist, a new file is created"," When you open a file for writing, if the file exists, the existing file is overwritten with the new file", All of the mentioned,D,Advanced,Files & Modules
Q13,Program code making use of a given module is called a ______ of the module., Client, Docstring, Interface, Modularity,A,Advanced,Files & Modules
Q14,Which one of the following is not attributes of file?, closed, softspace, rename, mode,C,Advanced,Files & Modules
Q15,Which of the following isn�t true about main modules?," When a python file is directly executed, it is considered main module of a program", Main modules may import any number of modules, Special name given to main modules is: __main__, Other main modules can import main modules,D,Advanced,Files & Modules
Q16,Which is/are the basic I/O connections in file?, Standard Input, Standard Output, Standard Errors, All of the mentioned,D,Advanced,Files & Modules
Q17,What is the output of print(2 + 3 * 4)?,20,14,12,18,B,Beginner,Data Types
Q18,�Which of the following is true for variable names in Python?,underscore and ampersand are the only two special characters allowed, unlimited length, all private members must have leading and trailing underscores, none of the mentioned,B,Beginner,Variables
Q19,�Which of the following is not a core data type in Python programming?, Tuples, Lists, Class, Dictionary,B,Beginner,Data Types
Q20,Which is the correct operator for power(xy)?, X^y, X**y, X^^y, None of the mentioned,B,Beginner,Operators
